Station_Number,Date,Depth,Chl,O2,Temp,Sal,Ext_Coeff,PO4,NO3,NH4,Si,Plagioselmis prolonga,Paralia sulcata,Thalassiosira spp.,Unknown Diatom,Eucapsis microscopica
3,1999-09-14,2,3.7,8.3,19.52,2.61,NA,NA,NA,NA,NA,160,0,0,0,0
3,1999-12-14,2,1.3,9.9,10.28,1.3,NA,NA,NA,NA,NA,120,0,0,0,0
3,2000-01-11,2,1.4,9.9,9.87,4.26,NA,NA,NA,NA,NA,10,0,0,0,0
3,2000-03-07,2,1.1,9.1,11.38,0.08,NA,NA,NA,NA,NA,10,0,0,0,0
3,2000-05-16,2,2.5,8.7,16.51,0.14,NA,1.54,23.36,4.62,228.21,460,0,0,0,0
3,2000-07-11,2,1.2,8.2,20.45,2.39,NA,NA,NA,NA,NA,80,0,0,0,0
3,2004-04-20,2,5.4,9.5,15.43,0.07,NA,1.17,16.11,5.18,238.75,0,0,0,0,0
3,2004-09-14,2,4.2,8.2,21.89,4.04,NA,NA,NA,NA,NA,0,0,0,0,0
3,2005-05-10,2,4.6,8.7,18.21,0.08,NA,NA,NA,NA,NA,0,0,0,0,0
3,2008-05-06,2,9.8,9.1,16.95,0.75,NA,1.84,35.81,4.58,245.04,0,0,0,0,0
3,2009-05-19,2,5.5,8.8,19.83,0.39,NA,1.13,21.95,4.28,255.02,0,0,0,0,0
3,2009-09-22,2,5.3,7.8,23.01,3.9,NA,1.83,17.92,3.65,219.28,0,0,0,0,0
3,2010-03-30,2,6,9.4,15.06,0.82,NA,2.23,36.15,6.11,303.3,0,0,0,0,0
3,2010-04-13,2,23.1,10,14.19,0.58,NA,1.79,29.24,4.82,273.02,0,0,0,0,0
3,2010-05-20,2,29.3,9.6,16.95,0.14,NA,1.4,18.07,2.27,245.5,0,0,0,0,0
3,2010-06-15,2,5.7,8.3,20.17,0.09,NA,1.86,15.74,3.93,248.08,0,0,0,0,0
3,2011-08-16,2,4,8.4,21.62,0.54,NA,1.99,18.25,1.41,NA,0,0,0,0,0
3,2011-09-20,2,4.4,8.6,21.24,0.63,NA,2.18,17.3,2.26,NA,0,0,0,0,0
